"Emitere factura in SmartBill","Generate SmartBill Invoice"
"Emitere factura din Magento Invoices?","Issue SmartBill invoice from Magento invoices?"
"SmartBill: Te rugam marcheaza invoice-ul ca platit","SmartBill: Please mark the invoice paid"
"Inainte de emiterea facturii in SmartBill Cloud, invoice-ul din Magento trebuie sa aiba statusul platit","Before issuing the SmartBill invoice, the Magento invoice needs to be marked as paid"
"Vizualizare ciorna","View SmartBill Draft Invoice"
"Vizualizare factura","View SmartBill Invoice"
"Retrimitere factura pe email","Resend Invoice"
"Setari Generale","General settings"
"SmartBill Setari Generale","SmartBill General Settings"
"SmartBill Setari Generale - versiune modul 1.2.5","SmartBill General Settings - module version 1.2.5"
"SmartBill Setari Facturi","SmartBill Invoices Settings"
"Setari email","Email settings"
"Setare per comanda, din Magento","Per order, from Magento"
"Versiunea curenta a platformei Magento 2 nu este suportata. Va rugam sa folositi versiunile 2.2.x (2.2.0, 2.2.1, 2.2.2 etc).","The current Magento 2 version is not supported. Please use any 2.2.x version (such as 2.2.0, 2.2.1, 2.2.2, 2.2.3 etc."
"Romana","Romanian"
"Engleza","English"
"Franceza","French"
"Italiana","Italian",
"Spaniola","Spanish",
"Maghiara","Hungarian",
"Germana","German"
"Utilizator","User"
"Introdu adresa de email utilizata pentru conectarea la SmartBill.","Enter the email address used to connect to SmartBill."
"Token","Token"
"Introdu codul unic generat de SmartBill pentru a putea permite autentificarea : Din SmartBill Cloud - accesezi Contul meu / Integrari / Informatii API.","Enter the unique code generated by SmartBill to enable authentication: From SmartBill Cloud - Access Contul Meu / Integrari / Informatii API."
"Cod Fiscal","VAT number"
"Introdu codul fiscal pentru societatea pentru care doresti sa facturezi si apoi sa salvezi configuratia.","Enter the VAT number for the company you want to issue SmartBill invoices and then save the configuration."
"Societatea este platitoare de TVA ?","Is the company VAT-registered?"
"Preturile produselor contin TVA?","Do the product prices include VAT?"
"Suma aferenta transportului contine TVA?","Does the amount for the transport include VAT?"
"Adaugare TVA la incasare?","Add VAT on receipt message?"
"Cota TVA","VAT details"
"Alege tipul de TVA pe care-l folosesti.","Choose the type of VAT rate you use."
"Cota TVA pentru Transport","VAT details for Transport"
"Alege tipul de TVA pe care-l folosesti.","Choose the type of VAT rate you use."
"Serie documente","Document series"
"Te rugam sa introduci seria de facturi dorita.","Please enter your desired invoice series."
"Factura emisa este finala?","Is the issued invoice final?"
"Factura poate sa fie in stadiul de ciorna sau sa fie finala. Aceasta setare este utila pentru testare.","The invoice may be in the draft state or may be final. This setting is useful for testing."
"Descarcare gestiune?","Do you want to update stocks? "
"Detalii gestiune","Stock details"
"Emitere facturi?","Issue invoices?"
"Alegeti 'Da' pentru a emite facturi si alegeti 'Nu' pentru a emite proforme.","Choose 'Yes' to issue invoices or choose 'No' to issue estimates."
"Alege gestiunea pe care doresti sa o folosesti la emiterea facturilor.","Choose the stock you want to use when issuing invoices."
"Cand sunt emise facturi, acestea pot sa descarce stocul la vanzare. Pentru aceasta, ai nevoie sa ai deja definita o gestiune in contul tau SmartBill Cloud.","When invoices are issued, they can update the stocks on purchase. For this, you need to already have defined stocks in your SmartBill Cloud account."
"Numar de zile pana la scadenta","Number of days until the due date"
"Poti alege numarul de zile, fata de data emiterii, cand doresti sa se calculeze scadenta.","You can choose the number of days before the issue date when you want to calculate the due date."
"Numar de zile pana la data livrarii","Number of days until the delivery date "
"Poti alege numarul de zile, fata de data emiterii, cand doresti sa se calculeze data livrarii. Daca acest numar este mai mic decat cel folosit pentru calcularea datei scadentei, atunci va fi setat identic cu acela.","You can choose the number of days before the date of issue when you want to calculate the delivery date. If this number is smaller than the one used to calculate the due date then it will be set identically to the due date's number of days."
"Factura este deja incasata la emitere?","Is the invoice already paid when it is issued? "
"Factura poate sa fie emisa direct incasata sau fara sa fie incasata.","The invoice can be issued directly paid or unpaid."
"Limba","Language"
"Moneda","Currency"
"Unitatea de masura","Units of measurement"
"Remitere document","Reissue document"
"Salvare client in SmartBill?","Do you want to save the client in SmartBill?"
"Salvare produs in SmartBill?","Do you want to save the product in SmartBill? "
"Adaugare transport in factura","Do you want to add the shipping to the invoice? "
"Eticheta transport","Transport label"
"Introdu textul pe care doresti sa il ai afisat pe factura la rubrica transport.","Enter the text that you want to display on the invoice for the shipping. "
"Mod depanare","Debug mode"
"Prin acest mod, modulul SmartBill Cloud va trimite mai multe date despre platforma Magento 2, pentru analiza si solutionarea posibilelor probleme de conectivitate.","By using the debug mode, you allow the SmartBill Plugin to collect relevant data for debugging connectivity problems with the SmartBill Cloud platform"
"Notificare client?","Do you want to notify the client?"
"Poti alege daca factura sa fie trimisa prin email clientului.","You can choose if the invoice is sent by email to the customer."
"Titlu email","Email subject"
"In mesajul trimis catre client, poti alege ce titlu va fi setat pentru email-ul trimis catre client.","In the message sent to the client, you can choose which title will be set for the email sent to the client."
"Copie email (CC)","Carbon copy (CC)"
"Poti adauga o adresa de email la care doresti sa se trimita o copie prin CC. Daca doresti mai multe, acestea trebuie separate prin virgula.","You can add an email address to which you want to send a copy via CC. If you want more addresses, they must be separated by commas."
"Copie ""anonima"" email","Blind Carbon Copy email"
"Poti adauga o adresa de email la care doresti sa se trimita o copie prin BCC. Daca doresti mai multe, acestea trebuie separate prin virgula. Adresele de email trecute aici nu vor fi vizibile in antetul mesajului precum cele de la campul anterior (CC).","You can add an email address to which you want to send a copy via BCC. If you want more addresses, they must be separated by commas. Email addresses put here will not be visible in the header of the email message as in the previous field (CC)."
"Continut mesaj","Message content"
"Factura SmartBill poate fi emisa din sectiunea Orders sau din sectiunea Invoices. Alege 'Nu' pentru a emite factura din Orders sau 'Da' pentru a emite factura din Invoices.","The SmartBill invoice can be issued from the Orders section or the Invoices section. Select 'No' to issue the invoice from Orders or 'Yes' to issue it from Invoices."
"<![CDATA[<div class='note'><span>Aici poti sa iti personalizezi mesajul pe care doresti sa-l trimiti catre client. Poti sa iti personalizezi mesajul folosind informatia existenta pe facturi, disponibila in contul SmartBill Cloud -&gt; Configurare -&gt; Email, precum :</span><ul><li> #tip document# </li><li> #link document# </li><li> #serie numar document# </li><li> #total document# </li><li> #data emiterii# </li><li> #data scadentei# </li><li> #mentiune# </li><li> #nume client# </li><li> #persoana contact# </li></ul><span>Pentru a folosi aceste variabile, ai nevoie sa le copiezi/inserezi incepand de la caracterul diez de inceput (#) pana la caracterul diez de final (#).</span> </div>]]>","<![CDATA[<div class='note'><span>Here you can personalize the message that you wish to send to the client. You can use the following information, available in your SmartBill Cloud interface -&gt; Configuration -&gt; Email :</span><ul><li> #tip document# </li><li> #link document# </li><li> #serie numar document# </li><li> #total document# </li><li> #data emiterii# </li><li> #data scadentei# </li><li> #mentiune# </li><li> #nume client# </li><li> #persoana contact# </li></ul><span>In order to use these variables, you need to copy and paste them in the message body of the email (including the hash symbol).</span> </div>]]>"
"Succes!","Success!"
"EROARE","ERROR"
"Eroare la conexiunea la server:","Error connecting to server"
"SmartBill Cloud : Generare facturi","SmartBill Cloud : Generate invoices"
"Doresti sa generezi factura pentru aceasta comanda?","Would you like to issue an invoice for this order?"
"SmartBill Cloud : Remitere facturi","SmartBill Cloud : Reissue documents"
"Doresti sa remiti documentul in SmartBill Cloud?","Would you like to reissue the document in SmartBill Cloud?"
"SmartBill Cloud : retrimitere factura","SmartBill Cloud : resend document"
"Doresti sa retrimiti factura acestui client?","Would you like to reissue an invoice to this client?"
"Recomandam stergerea sau anularea facturii legate de aceasta comanda inainte de a face remiterea.","It is recommended that you either cancel or delete the SmartBill Document previously issued before reissuing another document."
"Date invalide furnizate in momentul citirii inregistrarilor din Magento","Invalid data when reading rows from Magento"
"Datele de facturare furnizate sunt invalide","Billing details are invalid or do not exist."
"Documentul nu a fost gasit in baza de date.","The document was not found in the database."
"Eroare la calcularea discount-ului pentru aceasta valoare.","Error encountered when calculating discount for this value."
"Eroare la calcularea TVA-ului pentru aceasta inregistrare.","Error encountered when calculating VAT for this record."
"Eroare la calcularea TVA-ului pentru aceste perechi de valori.","Error encountered when calculating VAT for this pair of values."
"Eroare la conectarea la SmartBill Cloud pentru afisarea valorilor TVA.","Error encountered when connecting to SmartBill Cloud for retrieving VAT values."
"Eroare la includerea transportului in factura.","Error encountered when including transport in the document"
"Eroare la trimiterea email-ului catre client.","Eroare la trimiterea email-ului catre client."
"Eroare la setarea cotei TVA. Cota TVA furnizata de catre Magento (%1) nu este definita in SmartBill Cloud","Error when setting VAT value. The provided VAT value (%1) does not exist in SmartBill Cloud"
"invalid / empty response","invalid / empty response"
"Setari invalide pentru unitatile de masura din SmartBill Cloud","Invalid settings detected for setting measuring units."
"Te rugam sa verifici daca ai setat compania ca neplatitoare de TVA si in Magento si in contul dvs. SmartBill Cloud. ","Please verify that the company is not VAT payable in Magento and in SmartBill Cloud. "
